num_splits,mean_mae,mean_rmse,mean_mape,mean_r2,std_mae,std_rmse,std_mape,std_r2,controller
3,0.050838066033008,0.0918384062758234,2.170450170458219,0.9752906602584228,0.0171429172429474,0.0300121384707253,0.973672855613246,0.0125403096991138,e0201
3,0.0059164120278543,0.0111170117306959,0.2864031981134183,0.9229147714519312,0.0006222306110268,0.0038302732522637,0.0405427960570963,0.0599648592026727,e0202
3,0.0099479529649306,0.0330210871821505,0.5375487347259431,-0.2752944438481106,0.0077363414784552,0.0435509801606964,0.4187187496990657,1.9966542024693807,e0203
5,0.0635646670093225,0.1166204457676062,2.7066041502757097,0.9290285514385138,0.0327060115147128,0.054830148505587,1.425118860084515,0.0703811031323476,raw_data_e0201
5,0.006597903909348,0.0129850389035888,0.3270955596256613,0.962251072505221,0.0004731928245004,0.0033334301737392,0.0377087414447647,0.0243365888437236,raw_data_e0202
5,0.1065005643920129,0.1348730468649881,5.680628730488637,-1.0457279811562707,0.2135429539846361,0.2196323755125753,11.335688175547665,2.7291864390723943,raw_data_e0203
5,0.0088549162082444,0.020621526302393,0.2370891271297662,-0.0026538430650426,0.0014074578663316,0.0130449395405945,0.0406583525232613,2.104117252353567,raw_data_e0204
5,0.0072237999453691,0.0158705511318431,0.3213443449372258,0.789133732042598,0.0070703739905293,0.0222996064724102,0.4410045539434255,0.1395742415690398,raw_data_e0205
5,0.1630683414848849,0.2208793091461801,4.629385719722782,0.4699914487222862,0.1626727606434586,0.1880430972893203,4.556488294955377,0.9696139645219028,raw_data_e0206
5,0.004525377451537,0.0134796611224344,0.1994826582831876,0.91746880918028,0.0007702752962958,0.012999869593095,0.079190963631936,0.0645475421191914,raw_data_e0207
5,0.0166430058466707,0.0653923731120431,0.3354695277153127,-0.4699007120972728,0.0071233363397421,0.0457348668215079,0.1341975762820385,2.426391273813305,raw_data_e0208
5,0.0254258754294986,0.0937865930842368,1.6384154088700285,0.7117580664111782,0.0071529297311276,0.0781586004832585,2.9691087974000925,0.4296296439941561,raw_data_e0209
5,0.0198016682844352,0.0671887858094663,9417358.076962393,0.9977411424273064,0.01795877183542,0.0605952654244016,17994759.136713967,0.0034634129750146,raw_data_e0210
5,0.031560704897718,0.0635947383092181,0.5978570906887454,0.9938323452496328,0.0051643999208945,0.0159781043071501,0.1416333361332364,0.0039363082070172,raw_data_e0211
