time,result,table,controller,site,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,power_l1,power_l2,power_l3
2025-11-05 06:00:00+00:00,0.0,1.9615384615384615,0.0,0.0,0.79,0.8720000000000001,0.8,0.71,0.0,0.664,0.55,0.71,232.34,230.85999999999999,232.35999999999999,0.154453,0.1265462,0.165136,0.44616439999999996,0.1350658,0.1005926,0.1168406
2025-11-05 06:15:00+00:00,0.0,2.1025641025641026,0.0,0.0,0.79,0.8714285714285713,0.7928571428571429,0.7057142857142856,0.0,0.67,0.55,0.7185714285714285,233.68571428571428,232.18571428571428,233.72857142857143,0.15617085714285714,0.12771157142857142,0.16708742857142858,0.45099799999999995,0.136399,0.10143157142857143,0.11795471428571427
2025-11-05 06:30:00+00:00,0.0,2.0277777777777777,0.0,0.0,0.79,0.87,0.79,0.7028571428571428,0.0,0.67,0.55,0.72,233.92857142857142,232.44285714285712,234.02857142857144,0.15639257142857144,0.12803657142857142,0.1677457142857143,0.45196971428571425,0.13621642857142857,0.10137628571428571,0.11824028571428571
2025-11-05 06:45:00+00:00,0.0,2.0238095238095237,0.0,0.0,0.79,0.87,0.79,0.7024999999999999,0.0,0.67,0.55,0.72,234.075,232.575,234.0875,0.156529,0.128177125,0.16791875,0.452858,0.13638825,0.10152024999999999,0.118302375
2025-11-05 07:00:00+00:00,0.0,2.0,0.0,0.0,0.79,0.87,0.79,0.7,0.0,0.67,0.55,0.72,234.425,232.975,234.48749999999998,0.157013375,0.1285575,0.16832425,0.453959625,0.136882375,0.10174925,0.11839274999999999
2025-11-05 07:15:00+00:00,0.0,2.0,0.0,0.0,0.79,0.87,0.79,0.6999999999999998,0.0,0.67,0.55,0.7200000000000001,234.0666666666667,232.5666666666667,234.16666666666666,0.15683966666666668,0.1282855,0.16795783333333333,0.4528358333333333,0.136618,0.10137766666666666,0.118181
2025-11-05 07:30:00+00:00,0.0,2.0277777777777777,0.0,0.0,0.79,0.87,0.79,0.7028571428571428,0.0,0.67,0.55,0.7185714285714285,233.92857142857142,232.35714285714286,233.97142857142856,0.156216,0.1279587142857143,0.16769242857142858,0.4520231428571429,0.136271,0.10131414285714287,0.11818457142857143
2025-11-05 07:45:00+00:00,0.0,2.0,0.0,0.0,0.79,0.87,0.79,0.7,0.0,0.67,0.55,0.71875,234.025,232.5125,234.05,0.15658225,0.128120875,0.167899625,0.45275175,0.13645075,0.1014185,0.11840325
2025-11-05 08:00:00+00:00,0.0,2.090909090909091,0.0,0.0,0.79,0.87,0.79,0.7012499999999999,0.0,0.67,0.55,0.72,233.8,232.375,233.9625,0.156404875,0.127948875,0.167710625,0.452099375,0.13624825,0.10137787499999999,0.117859875
2025-11-05 08:15:00+00:00,0.0,1.9444444444444444,0.0,0.0,0.79,0.87,0.79,0.7,0.0,0.67,0.55,0.72,233.78571428571428,232.34285714285716,233.85714285714286,0.15644585714285714,0.12801314285714285,0.16768485714285714,0.4520484285714286,0.13626642857142857,0.10138742857142857,0.11805042857142857
2025-11-05 08:30:00+00:00,0.0,2.0,0.0,0.0,0.79,0.87,0.79,0.7012499999999999,0.0,0.67,0.55,0.72,233.9,232.475,234.0,0.15637500000000001,0.127892,0.167691375,0.45210425,0.136337625,0.101351375,0.118116625
2025-11-05 08:45:00+00:00,0.0,2.054054054054054,0.0,0.0,0.79,0.87,0.79,0.7,0.0,0.67,0.55,0.72,234.35714285714286,232.95714285714286,234.44285714285712,0.15709599999999999,0.128522,0.16853714285714286,0.45423657142857143,0.13684057142857145,0.10156242857142858,0.11851642857142856
2025-11-05 09:00:00+00:00,0.0,2.081081081081081,0.0,0.0,0.7814285714285715,0.87,0.79,0.7,0.0,0.67,0.55,0.72,235.32857142857142,233.91428571428574,235.41428571428574,0.15820114285714285,0.12936985714285715,0.17003471428571432,0.4577,0.13761914285714286,0.10198242857142857,0.11900557142857142
2025-11-05 09:15:00+00:00,0.0,1.8604651162790697,0.0,0.0,0.7775000000000001,0.865,0.785,0.7,0.0,0.66625,0.5575000000000001,0.7275,236.175,234.7625,236.2625,0.15729975,0.13027325,0.171614875,0.45916675,0.13575825,0.102342,0.11978375
2025-11-05 09:30:00+00:00,0.0,2.024390243902439,0.0,0.0,0.77,0.85,0.7825,0.6924999999999999,0.0,0.6475,0.56,0.73,237.875,236.4,237.9,0.15336575,0.13193375000000002,0.17433575,0.45988724999999997,0.13051125,0.10309125,0.120848
