time,result,table,controller,site,digital_input_1_and_2,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1_thd,current_l3_thd,current_unbalance,volts_l1_thd,volts_l2_thd,volts_l3_thd,volts_unbalance,current_avg,current_l1,current_l2,current_l3,freq,volts_l1_l2,volts_l1_n,volts_l2_l3,volts_l2_n,volts_l3_l1,volts_l3_n,volts_l_l_avg,volts_l_n_avg,apparent_power_demand,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,apparent_energy,reactive_power_demand,reactive_energy_export,reactive_energy_import,max_power_demand,power_demand,power_l1,power_l2,power_l3,power_total,energy_export,energy_import,reactive_power_l1,reactive_power_l2,reactive_power_l3,reactive_power_total
2026-01-28 00:00:00+00:00,0.0,5.530612244897959,0.0,0.0,0.0,0.6675,0.6625,0.69,0.65,0.0,4.975,4.824999999999999,38.65,0.7375,0.85,1.95,0.4875,6.35,4.4312499999999995,5.69125,8.92125,50.0875,412.28749999999997,239.3375,413.675,237.55,413.375,239.3375,413.1625,238.75,4.8725000000000005,1.0583525,1.35128125,2.13715875,4.657185,9609.775000000001,2.1487499999999997,117.3,5563.0375,4.93,3.31375,0.673478625,0.931403,1.3864675,2.9917775,182.8,7373.5375,0.8157861249999999,0.978515,1.62558375,3.41855125
2026-01-28 00:15:00+00:00,0.0,5.257142857142857,0.0,0.0,0.0,0.66,0.64,0.69,0.65,0.0,6.0,6.15,40.6,1.225,1.625,1.9249999999999998,0.5,6.35,4.43625,5.7,8.92625,50.1,412.825,239.525,414.1625,237.825,413.8625,239.5625,413.5625,239.025,4.8925,1.05924125,1.35262,2.13854,4.5485662499999995,9611.2125,2.14,117.3,5564.0,4.93,3.3425,0.6762321250000001,0.934736,1.389155,3.00093125,182.8,7374.4625,0.816469875,0.978583,1.6247525,3.4202475000000003
2026-01-28 00:30:00+00:00,0.0,5.458823529411765,0.0,0.0,0.0,0.7114285714285714,0.7942857142857143,0.6900000000000001,0.65,0.0,3.8142857142857145,4.242857142857143,28.171428571428574,3.057142857142857,4.614285714285715,4.057142857142858,0.4142857142857143,7.515714285714286,7.901428571428572,5.691428571428572,8.954285714285716,50.1,412.4428571428571,238.8857142857143,414.1,237.87142857142857,413.54285714285714,239.67142857142855,413.41428571428565,238.81428571428572,4.9,1.88739,1.3539171428571428,2.1450742857142857,5.383104285714286,9612.242857142857,2.14,117.3,5564.842857142857,4.93,3.35,1.5111034285714287,0.9339442857142857,1.3865871428571428,3.8338257142857146,182.8,7375.157142857142,1.1204968571428573,0.9816234285714286,1.633167142857143,3.7336557142857143
2026-01-28 00:45:00+00:00,0.0,5.672897196261682,0.0,0.0,0.0,0.6825,0.7075,0.69,0.65,0.0,6.1625000000000005,3.225,35.1625,2.375,2.7,2.8875,0.4625,6.8412500000000005,5.93625,5.68125,8.916250000000002,50.0375,411.575,238.7125,413.08750000000003,237.225,412.675,238.98749999999998,412.475,238.3125,4.90625,1.415585,1.34556125,2.13138375,4.89234875,9613.4125,2.14,117.3,5565.6625,4.93,3.3625000000000003,1.03795275,0.930252625,1.3813024999999999,3.34928125,182.8,7375.925,0.9440055,0.97436475,1.6213775000000001,3.5382225
2026-01-28 01:00:00+00:00,0.0,5.472527472527473,0.0,0.0,0.0,0.66,0.64,0.6900000000000001,0.65,0.0,4.585714285714286,2.457142857142857,40.6,1.6142857142857143,1.8142857142857143,2.4142857142857146,0.5,6.317142857142857,4.4071428571428575,5.667142857142857,8.884285714285713,50.0,410.7571428571428,238.48571428571427,412.15714285714284,236.6142857142857,411.8285714285715,238.41428571428574,411.62857142857143,237.81428571428572,4.898571428571429,1.0488771428571428,1.338072857142857,2.1205828571428573,4.509504285714286,9614.685714285715,2.1371428571428575,117.3,5566.528571428572,4.93,3.3614285714285717,0.6698837142857144,0.9244215714285715,1.3760714285714286,2.96796,182.8,7376.800000000001,0.8072962857142857,0.9685985714285714,1.6089371428571428,3.3839014285714284
2026-01-28 01:15:00+00:00,0.0,5.404494382022472,0.0,0.0,0.0,0.6857142857142857,0.7171428571428571,0.6942857142857142,0.65,0.0,4.585714285714286,4.6000000000000005,33.91428571428572,1.7285714285714289,1.8,1.9142857142857141,0.4571428571428572,6.8500000000000005,5.99,5.668571428571428,8.887142857142857,50.0,410.5285714285714,238.1142857142857,412.0571428571429,236.65714285714284,411.61428571428576,238.41428571428568,411.4142857142857,237.72857142857143,4.861428571428571,1.4239514285714285,1.3380314285714285,2.1145342857142855,4.8788,9616.128571428571,2.1257142857142854,117.3,5567.614285714286,4.93,3.335714285714286,1.060533857142857,0.927033,1.380492857142857,3.3706014285714287,182.8,7377.771428571429,0.933062,0.9646935714285715,1.6057871428571429,3.5039871428571425
2026-01-28 01:30:00+00:00,0.0,5.423076923076923,0.0,0.0,0.0,0.6675,0.6625,0.7,0.65,0.0,5.425,5.275,38.775,2.6,2.3874999999999997,1.975,0.4875,6.475,4.88375,5.6575,8.8675,50.0,410.1375,238.02499999999998,411.58750000000003,236.3,411.25,238.08749999999998,410.97499999999997,237.475,4.8475,1.1612487500000002,1.3335625,2.1055800000000002,4.607175,9616.6875,2.11875,117.3,5567.95,4.93,3.32875,0.789307625,0.9269695,1.3791574999999998,3.0899075,182.8,7378.1375,0.84313975,0.96024775,1.5978275,3.402305
2026-01-28 01:45:00+00:00,0.0,5.404040404040404,0.0,0.0,0.0,0.72,0.82,0.7,0.65,0.0,1.4,3.7,26.0,1.9,2.3,1.8,0.4,7.63,8.41,5.64,8.85,50.0,408.3,236.8,410.1,235.6,409.5,237.3,409.4,236.6,4.83,1.99144,1.32987,2.1067,5.42768,9618.0,2.11,117.3,5569.0,4.93,3.32,1.6285,0.923907,1.37655,3.92863,182.8,7379.1,1.14418,0.956249,1.59501,3.69697
2026-01-28 02:00:00+00:00,0.0,5.586206896551724,0.0,0.0,0.0,0.72,0.82,0.7,0.65,0.0,1.4,3.7,26.0,1.9,2.3,1.8,0.4,7.63,8.41,5.64,8.85,50.0,408.3,236.8,410.1,235.6,409.5,237.3,409.4,236.6,4.83,1.99144,1.32987,2.1067,5.42768,9618.0,2.11,117.3,5569.0,4.93,3.32,1.6285,0.923907,1.37655,3.9286300000000005,182.8,7379.1,1.14418,0.956249,1.59501,3.69697
2026-01-28 02:15:00+00:00,0.0,5.469387755102041,0.0,0.0,0.0,0.685,0.6950000000000001,0.7,0.66,0.0,4.35,7.4,36.75,2.85,5.725,5.85,0.55,6.535,5.255,5.61,8.74,50.0,406.075,235.57500000000002,407.45000000000005,233.975,407.175,235.8,406.65,235.075,4.72,1.2361375000000001,1.3094625,2.0584875,4.6015375,9621.125,2.08,117.3,5571.200000000001,4.93,3.25,0.8854652500000001,0.9180747499999999,1.35891,3.1634349999999998,182.8,7381.275,0.8449632499999999,0.9327157500000001,1.5505775,3.3295075
