time,result,table,controller,site,digital_input_1_and_2,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1_thd,current_l3_thd,current_unbalance,volts_l1_thd,volts_l2_thd,volts_l3_thd,volts_unbalance,current_avg,current_l1,current_l2,current_l3,freq,volts_l1_l2,volts_l1_n,volts_l2_l3,volts_l2_n,volts_l3_l1,volts_l3_n,volts_l_l_avg,volts_l_n_avg,apparent_power_demand,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,apparent_energy,reactive_power_demand,reactive_energy_export,reactive_energy_import,max_power_demand,power_demand,power_l1,power_l2,power_l3,power_total,energy_export,energy_import,reactive_power_l1,reactive_power_l2,reactive_power_l3,reactive_power_total
2025-11-05 06:00:00+00:00,0.0,5.430769230769231,0.0,0.0,0.0,0.79,0.8720000000000001,0.8,0.71,0.0,3.96,4.3,14.459999999999999,2.4,2.48,2.06,0.42000000000000004,0.64,0.664,0.55,0.71,49.92,400.41999999999996,232.34,401.88,230.85999999999999,401.36,232.35999999999999,401.21999999999997,231.84,0.45,0.154453,0.1265462,0.165136,0.44616439999999996,267.0,0.17,117.3,23.5,0.36,0.35,0.1350658,0.1005926,0.1168406,0.3528458,182.8,37.7,0.07504376,0.07663181999999999,0.11657619999999999,0.26820940000000004
2025-11-05 06:15:00+00:00,0.0,5.442105263157894,0.0,0.0,0.0,0.79,0.8714285714285713,0.7928571428571429,0.7057142857142856,0.0,5.285714285714286,6.571428571428571,14.571428571428571,2.1142857142857143,2.857142857142857,2.457142857142857,0.4,0.6485714285714286,0.67,0.55,0.7185714285714285,50.0,402.7714285714286,233.68571428571428,404.2285714285714,232.18571428571428,403.90000000000003,233.72857142857143,403.57142857142856,233.17142857142858,0.45,0.15617085714285714,0.12771157142857142,0.16708742857142858,0.45099799999999995,267.0142857142857,0.17,117.3,23.62857142857143,0.36,0.35,0.136399,0.10143157142857143,0.11795471428571427,0.3559748571428572,182.8,37.885714285714286,0.0763719,0.07789381428571429,0.11838042857142858,0.27237757142857144
2025-11-05 06:30:00+00:00,0.0,5.231578947368421,0.0,0.0,0.0,0.79,0.87,0.79,0.7028571428571428,0.0,6.142857142857143,3.875,14.614285714285714,2.857142857142857,3.1142857142857143,2.442857142857143,0.42857142857142855,0.6485714285714286,0.67,0.55,0.72,49.971428571428575,403.1714285714285,233.92857142857142,404.62857142857143,232.44285714285712,404.2142857142857,234.02857142857144,403.95714285714286,233.45714285714286,0.45,0.15639257142857144,0.12803657142857142,0.1677457142857143,0.45196971428571425,267.12857142857143,0.17,117.3,23.7,0.36,0.35714285714285715,0.13621642857142857,0.10137628571428571,0.11824028571428571,0.35616242857142855,182.8,38.0,0.07681787142857142,0.07828777142857143,0.119212,0.2742987142857143
2025-11-05 06:45:00+00:00,0.0,5.273584905660377,0.0,0.0,0.0,0.79,0.87,0.79,0.7024999999999999,0.0,4.425,4.588888888888889,14.612499999999999,2.675,2.5124999999999997,2.3125,0.4,0.65,0.67,0.55,0.72,50.0,403.5625,234.075,405.05,232.575,404.4375,234.0875,404.375,233.65,0.45,0.156529,0.128177125,0.16791875,0.452858,267.3,0.17,117.3,23.7125,0.36,0.36,0.13638825,0.10152024999999999,0.118302375,0.355818125,182.8,38.0,0.0767908125,0.0784088625,0.11929862499999999,0.274591
2025-11-05 07:00:00+00:00,0.0,5.49,0.0,0.0,0.0,0.79,0.87,0.79,0.7,0.0,5.4375,5.8875,14.612499999999999,2.1625,2.775,2.425,0.4,0.65,0.67,0.55,0.72,50.0,404.1625,234.425,405.6,232.975,405.0375,234.48749999999998,404.925,233.975,0.45,0.157013375,0.1285575,0.16832425,0.453959625,267.375,0.17,117.3,23.8625,0.36,0.36,0.136882375,0.10174925,0.11839274999999999,0.357117375,182.8,38.075,0.077008125,0.078689875,0.11968,0.275467375
2025-11-05 07:15:00+00:00,0.0,5.178571428571429,0.0,0.0,0.0,0.79,0.87,0.79,0.6999999999999998,0.0,3.7833333333333337,5.633333333333333,14.649999999999999,1.6500000000000001,2.6,2.6333333333333333,0.43333333333333335,0.65,0.67,0.55,0.7200000000000001,50.0,403.40000000000003,234.0666666666667,404.8333333333333,232.5666666666667,404.3666666666666,234.16666666666666,404.2166666666667,233.58333333333334,0.45,0.15683966666666668,0.1282855,0.16795783333333333,0.4528358333333333,267.46666666666664,0.17,117.3,23.899999999999995,0.36000000000000004,0.36000000000000004,0.136618,0.10137766666666666,0.118181,0.35635483333333334,182.80000000000004,38.28333333333333,0.07694243333333334,0.07837006666666667,0.11934216666666668,0.274814
2025-11-05 07:30:00+00:00,0.0,5.473118279569892,0.0,0.0,0.0,0.79,0.87,0.79,0.7028571428571428,0.0,5.042857142857143,5.314285714285715,14.642857142857142,1.7142857142857142,2.2714285714285714,2.2714285714285714,0.4571428571428572,0.6471428571428571,0.67,0.55,0.7185714285714285,49.971428571428575,403.14285714285717,233.92857142857142,404.62857142857143,232.35714285714286,404.15714285714284,233.97142857142856,403.9857142857143,233.44285714285712,0.45,0.156216,0.1279587142857143,0.16769242857142858,0.4520231428571429,267.62857142857143,0.17,117.3,23.91428571428571,0.36,0.36,0.136271,0.10131414285714287,0.11818457142857143,0.3556724285714286,182.8,38.3,0.07669471428571428,0.07817574285714286,0.11906314285714285,0.2739155714285714
2025-11-05 07:45:00+00:00,0.0,5.25,0.0,0.0,0.0,0.79,0.87,0.79,0.7,0.0,4.55,4.2625,14.675,2.475,2.525,2.45,0.4,0.64875,0.67,0.55,0.71875,49.975,403.3,234.025,404.7375,232.5125,404.3625,234.05,404.1125,233.5125,0.45,0.15658225,0.128120875,0.167899625,0.45275175,267.7,0.17,117.3,24.0,0.36,0.36,0.13645075,0.1014185,0.11840325,0.35617825,182.8,38.387499999999996,0.0768550875,0.0783057,0.119241375,0.27439
2025-11-05 08:00:00+00:00,0.0,5.568627450980392,0.0,0.0,0.0,0.79,0.87,0.79,0.7012499999999999,0.0,5.75,4.3125,14.6625,2.6375,2.425,2.025,0.41250000000000003,0.6475,0.67,0.55,0.72,49.9625,403.0375,233.8,404.525,232.375,403.9375,233.9625,403.825,233.3875,0.45,0.156404875,0.127948875,0.167710625,0.452099375,267.7875,0.17,117.3,24.1,0.36,0.36,0.13624825,0.10137787499999999,0.117859875,0.355707875,182.8,38.4375,0.0765457875,0.07804101249999999,0.118980875,0.27376175
2025-11-05 08:15:00+00:00,0.0,5.336956521739131,0.0,0.0,0.0,0.79,0.87,0.79,0.7,0.0,5.428571428571429,2.7857142857142856,14.614285714285714,2.257142857142857,2.7142857142857144,2.2714285714285714,0.4,0.6485714285714286,0.67,0.55,0.72,49.94285714285714,402.9428571428571,233.78571428571428,404.4714285714286,232.34285714285716,404.04285714285714,233.85714285714286,403.87142857142857,233.34285714285716,0.45,0.15644585714285714,0.12801314285714285,0.16768485714285714,0.4520484285714286,268.0,0.17,117.3,24.2,0.36,0.36,0.13626642857142857,0.10138742857142857,0.11805042857142857,0.3557471428571429,182.8,38.6,0.0767588,0.07814857142857143,0.11908700000000001,0.27402714285714286
