split,mae,rmse,mape,r2
1,0.0045408045322435555,0.006574907177709658,0.1380291699979064,0.6119270276250004
2,0.0198377554108521,0.055713282227877664,1.109743914358879,0.953621336056593
3,0.004628245570212346,0.0073598873405207,0.14143832200368187,0.7626662845102858
4,0.003487446349932587,0.004898178155370499,0.10685370394742512,0.713866136509381
5,0.003624747863605179,0.004806500757737233,0.1106566143782368,0.9035878755117291
