model,MAE,RMSE,MAPE,R²
N-BEATS,0.8214326077627832,0.9295205736809837,33.428866897889776,-1.7653054706451319
Persistence,0.4216661501626334,0.520637489947411,13.841292884255127,0.1324470831320116
Rolling Mean,0.2837422215261515,0.36606683015183555,16.888132995578694,0.5711100629892514
