split,mae,rmse,mape,r2
1,0.006236149738319689,0.008039446986742221,0.28674408095890164,0.9569335793304338
2,0.006278450935069664,0.013508352522077438,0.3161221123230583,0.9780654201524663
3,0.0062992469199185845,0.015052232286422254,0.3152995975046781,0.923475318856798
4,0.006742995985692496,0.01113523018535134,0.32476127748300077,0.981461382856394
5,0.007417355995888159,0.015619328925356031,0.3910967601020172,0.9776311595824435
