time,controller,power_factor_avg,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
2025-11-05 07:00:00+00:00,e0201,0.74,9.79857142857143,3.992857142857143,7.208571428571429,234.14285714285714,233.25714285714284,234.65714285714284,3.6176485714285715
2025-11-05 07:15:00+00:00,e0201,0.7366666666666667,9.82,4.016666666666667,7.203333333333333,233.73333333333335,232.85,234.28333333333333,3.615876666666667
2025-11-05 07:30:00+00:00,e0201,0.74,9.83125,4.07375,7.62625,233.575,232.5375,233.75,3.70767875
2025-11-05 07:45:00+00:00,e0201,0.7299999999999999,9.838571428571429,4.048571428571428,7.231428571428572,233.67142857142858,232.75714285714284,234.15714285714284,3.603697142857143
2025-11-05 08:00:00+00:00,e0201,0.73375,9.81,4.02,7.2175,233.5,232.6375,233.9875,3.60505125
2025-11-05 08:15:00+00:00,e0201,0.74,9.77,3.992857142857143,7.467142857142856,233.28571428571428,232.41428571428574,233.72857142857143,3.6715028571428574
2025-11-05 08:30:00+00:00,e0201,0.74,9.793750000000001,3.9787500000000002,7.3774999999999995,233.525,232.6375,233.975,3.6553525000000002
2025-11-05 08:45:00+00:00,e0201,0.7342857142857142,9.819999999999999,3.9857142857142853,7.194285714285714,234.1,233.24285714285716,234.62857142857143,3.6143542857142856
2025-11-05 09:00:00+00:00,e0201,0.7299999999999999,9.894285714285713,4.045714285714285,7.385714285714286,235.1142857142857,234.27142857142857,235.62857142857143,3.6637314285714284
2025-11-05 09:15:00+00:00,e0201,0.72875,9.94125,4.08625,7.5424999999999995,235.625,234.7875,236.1875,3.70459375
2025-11-05 09:30:00+00:00,e0201,0.72,10.0,4.132857142857143,7.315714285714286,237.24285714285716,236.44285714285712,237.71428571428572,3.6719842857142857
2025-11-05 09:45:00+00:00,e0201,0.73,9.82125,4.025,7.26375,234.8125,234.0125,235.425,3.631985
2025-11-05 10:00:00+00:00,e0201,0.74,9.764285714285714,3.974285714285714,7.554285714285713,233.72857142857143,232.9857142857143,234.32857142857142,3.6763185714285713
2025-11-05 10:15:00+00:00,e0201,0.7324999999999999,9.79,3.985,7.385,234.025,233.25,234.7,3.64257
2025-11-05 10:30:00+00:00,e0201,0.7357142857142858,9.792857142857143,3.974285714285714,7.291428571428571,233.92857142857142,233.15714285714284,234.68571428571428,3.625092857142857
2025-11-05 10:45:00+00:00,e0201,0.7375,9.75125,3.96375,7.58,234.1375,233.3625,234.9125,3.679745
2025-11-05 11:00:00+00:00,e0201,0.7371428571428572,9.711428571428572,3.9585714285714286,7.602857142857142,234.14285714285714,233.42857142857142,235.05714285714288,3.6790928571428574
2025-11-05 11:15:00+00:00,e0201,0.73,9.72375,4.01,7.38875,233.9,233.0625,234.825,3.60242625
2025-11-05 11:30:00+00:00,e0201,0.7324999999999999,9.7425,4.0175,7.5075,233.625,232.775,234.60000000000002,3.640225
2025-11-05 11:45:00+00:00,e0201,0.74,9.722857142857142,3.9842857142857144,7.664285714285714,233.72857142857143,232.85714285714286,234.64285714285714,3.6705200000000002
2025-11-05 12:00:00+00:00,e0201,0.735,9.70375,3.9375,7.37125,233.85,232.9625,234.8375,3.616725
2025-11-05 12:15:00+00:00,e0201,0.7328571428571429,9.72,3.96,7.357142857142857,233.97142857142856,232.95714285714286,234.85714285714286,3.615622857142857
2025-11-05 12:30:00+00:00,e0201,0.7375,9.73,3.9475,7.6975,234.3125,233.4,235.2,3.6919925
2025-11-05 12:45:00+00:00,e0201,0.7314285714285714,9.724285714285715,3.955714285714286,7.445714285714287,234.3857142857143,233.55714285714288,235.37142857142857,3.6307071428571427
2025-11-05 13:00:00+00:00,e0201,0.73,9.75375,3.96,7.3975,234.75,233.85,235.675,3.6293525
2025-11-05 13:15:00+00:00,e0201,0.7299999999999999,9.762857142857143,3.9514285714285715,7.395714285714285,234.65714285714284,233.70000000000002,235.62857142857143,3.6194914285714286
2025-11-05 13:30:00+00:00,e0201,0.73625,9.7675,3.97125,7.73625,235.0,234.0,235.8875,3.7141937499999997
2025-11-05 13:45:00+00:00,e0201,0.7299999999999999,9.814285714285715,3.9614285714285713,7.425714285714286,235.71428571428572,234.79999999999998,236.84285714285716,3.646225714285714
2025-11-05 14:00:00+00:00,e0201,0.73,9.86,3.99625,7.4350000000000005,236.65,235.6125,237.65,3.6663324999999998
2025-11-05 14:15:00+00:00,e0201,0.7299999999999999,9.867142857142856,3.9785714285714286,7.618571428571428,236.82857142857142,235.79999999999998,237.71428571428572,3.703397142857143
2025-11-05 14:30:00+00:00,e0201,0.73,9.88125,3.99,7.640000000000001,237.0875,236.075,237.8,3.70781875
2025-11-05 14:45:00+00:00,e0201,0.72,9.902857142857144,4.0,7.448571428571428,237.27142857142857,236.35714285714286,238.21428571428572,3.670158571428572
2025-11-05 15:00:00+00:00,e0201,0.72625,9.88625,3.98875,7.42625,237.325,236.3625,238.2875,3.670565
2025-11-05 15:15:00+00:00,e0201,0.7299999999999999,9.911428571428571,3.9728571428571433,7.722857142857143,237.08571428571432,236.1,237.95714285714286,3.7411
2025-11-05 15:30:00+00:00,e0201,0.7224999999999999,9.905000000000001,3.98625,7.54875,237.4,236.4125,238.3,3.6881862499999998
2025-11-05 15:45:00+00:00,e0201,0.7242857142857143,9.911428571428571,3.9814285714285718,7.444285714285714,237.1285714285714,236.05714285714288,237.94285714285712,3.671664285714286
2025-11-05 16:00:00+00:00,e0201,0.7228571428571428,9.942857142857141,3.992857142857143,7.502857142857143,237.75714285714284,236.78571428571428,238.57142857142858,3.69462
2025-11-05 16:15:00+00:00,e0201,0.7275,9.9525,3.99125,7.7612499999999995,238.1875,237.225,239.0,3.7542925
2025-11-05 16:30:00+00:00,e0201,0.72,9.98875,4.0075,7.4662500000000005,238.5625,237.675,239.55,3.69614375
2025-11-05 16:45:00+00:00,e0201,0.72,10.007142857142856,4.01,7.475714285714285,238.67142857142855,237.78571428571428,239.6142857142857,3.6818199999999996
2025-11-05 17:00:00+00:00,e0201,0.72375,10.0175,4.01875,7.6987499999999995,238.9125,238.08749999999998,239.9375,3.74388375
2025-11-05 17:15:00+00:00,e0201,0.72,10.01142857142857,4.025714285714286,7.654285714285714,239.34285714285716,238.4857142857143,240.24285714285716,3.740145714285714
2025-11-05 17:30:00+00:00,e0201,0.7224999999999999,9.97875,4.01,7.45625,238.7,237.85,239.5625,3.68232625
2025-11-05 17:45:00+00:00,e0201,0.7299999999999999,9.868571428571428,3.9785714285714286,7.392857142857143,236.18571428571428,235.27142857142857,237.14285714285714,3.6469428571428573
2025-11-05 18:00:00+00:00,e0201,0.7299999999999999,9.862857142857141,3.9657142857142853,7.6571428571428575,236.37142857142857,235.44285714285712,237.14285714285714,3.716968571428571
2025-11-05 18:15:00+00:00,e0201,0.73,9.82875,3.9537500000000003,7.54625,236.025,235.2,236.9375,3.6646787499999998
2025-11-05 18:30:00+00:00,e0201,0.7299999999999999,9.855714285714285,3.9614285714285713,7.390000000000001,236.4,235.5,237.25714285714284,3.634934285714286
2025-11-05 18:45:00+00:00,e0201,0.72875,9.86625,3.96875,7.3975,236.7,235.9,237.5625,3.63490875
2025-11-05 19:00:00+00:00,e0201,0.72875,9.89875,3.98875,7.79,237.1625,236.3625,237.9875,3.74696
2025-11-05 19:15:00+00:00,e0201,0.72,9.892857142857142,4.002857142857143,7.428571428571429,237.15714285714284,236.3857142857143,238.07142857142858,3.657642857142857
2025-11-05 19:30:00+00:00,e0201,0.72,9.894285714285715,3.9857142857142853,7.392857142857143,237.32857142857142,236.47142857142856,238.1,3.6481157142857144
2025-11-05 19:45:00+00:00,e0201,0.72,9.92375,3.975,7.4175,237.6625,236.9,238.5,3.658685
2025-11-05 20:00:00+00:00,e0201,0.72875,9.905,4.0275,7.77375,237.9625,237.1375,238.7375,3.76402125
2025-11-05 20:15:00+00:00,e0201,0.7228571428571428,9.929999999999998,4.022857142857143,7.444285714285714,238.31428571428572,237.57142857142858,239.18571428571428,3.6755299999999997
2025-11-05 20:30:00+00:00,e0201,0.72,9.934999999999999,4.0075,7.4375,238.2375,237.475,239.13750000000002,3.67564375
2025-11-05 20:45:00+00:00,e0201,0.7271428571428571,9.932857142857143,4.011428571428572,7.817142857142857,238.20000000000002,237.5142857142857,239.04285714285714,3.772082857142857
2025-11-05 21:00:00+00:00,e0201,0.72,9.92375,4.02125,7.41625,238.0375,237.29999999999998,238.9,3.670265
2025-11-05 21:15:00+00:00,e0201,0.7214285714285714,9.937142857142858,4.032857142857143,7.5,237.94285714285712,237.17142857142855,238.77142857142857,3.69137
2025-11-05 21:30:00+00:00,e0201,0.7299999999999999,9.914285714285715,4.027142857142858,7.841428571428572,237.72857142857143,236.92857142857142,238.41428571428574,3.77212
2025-11-05 21:45:00+00:00,e0201,0.72125,9.86875,3.99625,7.41625,237.45,236.73749999999998,238.3625,3.6551675
2025-11-05 22:00:00+00:00,e0201,0.72375,9.835,4.00875,7.4037500000000005,236.8875,236.125,237.6875,3.64909625
2025-11-05 22:15:00+00:00,e0201,0.7299999999999999,9.814285714285715,4.008571428571428,7.748571428571429,236.07142857142858,235.34285714285716,236.74285714285716,3.728037142857143
2025-11-05 22:30:00+00:00,e0201,0.73,9.785,3.9925,7.34,235.25,234.5,235.9625,3.63063125
2025-11-05 22:45:00+00:00,e0201,0.7314285714285714,9.784285714285714,3.9585714285714286,7.338571428571428,234.32857142857142,233.5142857142857,234.9857142857143,3.630165714285714
2025-11-05 23:00:00+00:00,e0201,0.74,9.7525,3.935,7.6275,233.675,232.85,234.175,3.6843475
2025-11-05 23:15:00+00:00,e0201,0.74,9.712857142857143,3.9214285714285713,7.22,232.58571428571426,231.55714285714288,233.0142857142857,3.595071428571429
2025-11-05 23:30:00+00:00,e0201,0.74,9.69875,3.90875,7.1675,231.6875,230.78750000000002,232.25,3.57108625
2025-11-05 23:45:00+00:00,e0201,0.7371428571428572,9.824285714285713,3.96,7.522857142857142,234.18571428571428,233.25714285714284,234.71428571428572,3.6830285714285713
2025-11-06 00:00:00+00:00,e0201,0.74,9.77375,3.9325,7.28,232.9625,232.1875,233.525,3.6053100000000002
2025-11-06 00:15:00+00:00,e0201,0.74,9.70857142857143,3.892857142857143,7.151428571428572,231.77142857142857,230.81428571428572,232.14285714285714,3.5681942857142857
2025-11-06 00:30:00+00:00,e0201,0.7428571428571429,9.742857142857144,3.9385714285714286,7.341428571428572,232.52857142857144,231.62857142857143,232.97142857142856,3.624637142857143
2025-11-06 00:45:00+00:00,e0201,0.74,9.84375,3.95875,7.4225,234.275,233.35,234.7,3.6708612499999997
2025-11-06 01:00:00+00:00,e0201,0.74,9.815714285714284,3.957142857142857,7.211428571428571,233.57142857142858,232.74285714285716,234.18571428571428,3.611475714285714
2025-11-06 01:15:00+00:00,e0201,0.74,9.822857142857144,3.957142857142857,7.202857142857143,234.17142857142855,233.3,234.47142857142856,3.6104142857142856
2025-11-06 01:30:00+00:00,e0201,0.74,9.81375,3.9625,7.5925,234.01250000000002,233.0875,234.45000000000002,3.7090112499999996
2025-11-06 01:45:00+00:00,e0201,0.74,9.799999999999999,3.948571428571429,7.318571428571429,233.6,232.75714285714284,234.17142857142858,3.63496
2025-11-06 02:00:00+00:00,e0201,0.74,9.7775,3.9525,7.1975,233.025,232.1,233.6,3.597015
2025-11-06 02:15:00+00:00,e0201,0.7442857142857143,9.747142857142858,3.9614285714285713,7.427142857142857,232.77142857142857,231.97142857142856,233.35714285714286,3.650937142857143
2025-11-06 02:30:00+00:00,e0201,0.7424999999999999,9.768749999999999,3.9525,7.32875,232.63750000000002,231.8625,233.2375,3.63232
2025-11-06 02:45:00+00:00,e0201,0.74,9.747142857142858,3.9414285714285713,7.202857142857143,232.41428571428574,231.6,233.02857142857144,3.5911785714285713
2025-11-06 03:00:00+00:00,e0201,0.7416666666666667,9.758333333333333,3.93,7.248333333333332,232.54999999999998,231.71666666666667,233.1,3.6027549999999997
2025-11-06 03:15:00+00:00,e0201,0.7424999999999999,9.75875,3.97125,7.39625,232.5125,231.5,232.9125,3.65251875
2025-11-06 03:30:00+00:00,e0201,0.74,9.754999999999999,3.94,7.1899999999999995,232.475,231.625,233.075,3.59045
2025-11-06 03:45:00+00:00,e0201,0.7428571428571429,9.75,3.95,7.304285714285714,232.78571428571428,231.85714285714286,233.22857142857143,3.6171385714285718
2025-11-06 04:00:00+00:00,e0201,0.7442857142857143,9.807142857142859,3.9614285714285713,7.518571428571429,233.34285714285716,232.6,233.87142857142857,3.692198571428571
2025-11-06 04:15:00+00:00,e0201,0.74,9.788571428571428,3.9642857142857144,7.204285714285715,233.5142857142857,232.71428571428572,234.15714285714284,3.600674285714286
2025-11-06 04:30:00+00:00,e0201,0.74,9.780000000000001,3.94625,7.2250000000000005,233.7125,232.975,234.3625,3.6083275
2025-11-06 04:45:00+00:00,e0201,0.7428571428571429,9.754285714285714,3.955714285714286,7.555714285714286,233.12857142857143,232.24285714285716,233.70000000000002,3.6727842857142856
