result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,1.9615384615384615,0.0,0.0,0.79,0.0,0.664,0.55,0.71,232.34,230.85999999999999,232.35999999999999,0.44616439999999996,0.1350658,0.1005926,0.1168406,0.3528458
0.0,2.0789473684210527,0.0,0.0,0.79,0.0,0.67,0.55,0.7185714285714285,233.68571428571428,232.18571428571428,233.72857142857143,0.45099799999999995,0.136399,0.10143157142857143,0.11795471428571427,0.3559748571428572
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.72,233.92857142857142,232.44285714285712,234.02857142857144,0.45196971428571425,0.13621642857142857,0.10137628571428571,0.11824028571428571,0.35616242857142855
0.0,2.0238095238095237,0.0,0.0,0.79,0.0,0.67,0.55,0.72,234.075,232.575,234.0875,0.452858,0.13638825,0.10152024999999999,0.118302375,0.355818125
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.72,234.425,232.975,234.48749999999998,0.453959625,0.136882375,0.10174925,0.11839274999999999,0.357117375
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.7200000000000001,234.0666666666667,232.5666666666667,234.16666666666666,0.4528358333333333,0.136618,0.10137766666666666,0.118181,0.35635483333333334
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.7185714285714285,233.92857142857142,232.35714285714286,233.97142857142856,0.4520231428571429,0.136271,0.10131414285714287,0.11818457142857143,0.3556724285714286
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.71875,234.025,232.5125,234.05,0.45275175,0.13645075,0.1014185,0.11840325,0.35617825
0.0,2.090909090909091,0.0,0.0,0.79,0.0,0.67,0.55,0.72,233.8,232.375,233.9625,0.452099375,0.13624825,0.10137787499999999,0.117859875,0.355707875
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.72,233.78571428571428,232.34285714285716,233.85714285714286,0.4520484285714286,0.13626642857142857,0.10138742857142857,0.11805042857142857,0.3557471428571429
0.0,2.0952380952380953,0.0,0.0,0.79,0.0,0.67,0.55,0.72,233.9,232.475,234.0,0.45210425,0.136337625,0.101351375,0.118116625,0.3556995
0.0,2.054054054054054,0.0,0.0,0.79,0.0,0.67,0.55,0.72,234.35714285714286,232.95714285714286,234.44285714285712,0.45423657142857143,0.13684057142857145,0.10156242857142858,0.11851642857142856,0.3568944285714286
0.0,2.108108108108108,0.0,0.0,0.7814285714285715,0.0,0.67,0.55,0.72,235.32857142857142,233.91428571428574,235.41428571428574,0.4577,0.13761914285714286,0.10198242857142857,0.11900557142857142,0.3587987142857143
0.0,2.0,0.0,0.0,0.7775000000000001,0.0,0.66625,0.5575000000000001,0.7275,236.175,234.7625,236.2625,0.45916675,0.13575825,0.102342,0.11978375,0.357865625
0.0,2.0,0.0,0.0,0.77,0.0,0.6475,0.56,0.73,237.875,236.4,237.9,0.45988724999999997,0.13051125,0.10309125,0.120848,0.35444725
0.0,2.054054054054054,0.0,0.0,0.7785714285714286,0.0,0.6414285714285715,0.5514285714285715,0.7214285714285714,235.0,233.52857142857144,235.1,0.4486178571428571,0.12851385714285715,0.10181471428571429,0.11881928571428571,0.34941000000000005
0.0,1.9722222222222223,0.0,0.0,0.78,0.0,0.64,0.55,0.72,234.18571428571428,232.77142857142857,234.4,0.44614985714285715,0.12813714285714287,0.1018957142857143,0.11871042857142856,0.3490965714285714
0.0,2.0,0.0,0.0,0.78,0.0,0.64,0.55,0.72,234.525,233.07500000000002,234.7375,0.447103125,0.128107375,0.10182137499999999,0.118821125,0.34919925
0.0,2.0,0.0,0.0,0.78,0.0,0.64,0.55,0.72,234.45714285714286,232.9857142857143,234.71428571428572,0.4471917142857143,0.12800771428571428,0.10157885714285715,0.1185597142857143,0.34799428571428576
