time,result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
2025-11-05 06:15:00+00:00,0.0,1.5714285714285714,e0205,0.0,0.94,0.0,5.696666666666666,4.783333333333333,4.726666666666667,233.53333333333333,231.76666666666665,233.76666666666665,3.3158333333333334
2025-11-05 06:30:00+00:00,0.0,1.5,e0205,0.0,0.94,0.0,5.6975,4.79875,4.7325,233.5875,231.85,233.875,3.31627125
2025-11-05 06:45:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.687142857142858,4.7942857142857145,4.742857142857143,233.77142857142857,232.05714285714288,234.0,3.3184314285714285
2025-11-05 07:00:00+00:00,0.0,1.5,e0205,0.0,0.94,0.0,5.67375,4.7925,4.71625,234.0625,232.36249999999998,234.3375,3.31749625
2025-11-05 07:15:00+00:00,0.0,1.48,e0205,0.0,0.94,0.0,5.685,4.783333333333333,4.738333333333333,233.75,232.01666666666665,234.03333333333333,3.3183216666666664
2025-11-05 07:30:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.685714285714285,4.781428571428571,4.731428571428572,233.64285714285714,231.82857142857142,233.94285714285712,3.3140614285714283
2025-11-05 07:45:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.94,0.0,5.675,4.77375,4.72125,233.7625,232.0625,234.0875,3.3122937500000003
2025-11-05 08:00:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.94,0.0,5.6775,4.78625,4.725,233.3,231.5625,233.6,3.30795125
2025-11-05 08:15:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.67,4.7871428571428565,4.724285714285714,233.5,231.81428571428572,233.8,3.308041428571429
2025-11-05 08:30:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.94,0.0,5.675,4.78375,4.72375,233.4125,231.6875,233.7375,3.31146
2025-11-05 08:45:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.655714285714287,4.774285714285715,4.7128571428571435,234.0,232.31428571428572,234.31428571428572,3.3060114285714284
2025-11-05 09:00:00+00:00,0.0,1.5,e0205,0.0,0.937142857142857,0.0,5.637142857142857,4.761428571428572,4.6971428571428575,235.05714285714288,233.35714285714286,235.34285714285716,3.3066485714285716
