model,MAE,RMSE,MAPE,R²
N-BEATS,0.842604865980673,0.942423475727957,34.36669376795072,-1.8426100753256618
Persistence,0.4216661501626334,0.520637489947411,13.841292884255127,0.1324470831320116
Rolling Mean,0.2837422215261515,0.36606683015183555,16.888132995578694,0.5711100629892514
