ahu_id,delta_kwh_stationary,delta_kwh_variance,delta_kwh_ml_candidate,power_factor_avg_stationary,power_factor_avg_variance,power_factor_avg_ml_candidate,current_unbalance_stationary,current_unbalance_variance,current_unbalance_ml_candidate,composite_thd_24h_stationary,composite_thd_24h_variance,composite_thd_24h_ml_candidate,power_total_stationary,power_total_variance,power_total_ml_candidate
e0101,True,27.21103160472502,True,False,0.03763248520366872,False,False,749.4450938626337,False,False,,False,False,0.5792144332665096,False
e0102,True,54.025902274297515,True,False,0.0005091886449412317,False,False,44.62462357112676,False,False,,False,False,0.04865875099973484,False
e0103,True,180.17562186882435,True,True,7.795274873577243e-05,False,False,2.159446794860379,False,False,,False,False,0.06400660796551974,False
e0104,True,79.53155395664614,True,False,0.0006914892134800556,False,False,8.898046288664244,False,False,,False,False,1.510892920057133,False
e0105,True,5417.76910274203,True,False,0.0018916806580555224,False,False,210.0900980587361,False,False,,False,False,287.10346721954676,False
e0106,True,53.63858410369776,True,False,0.0026535119372068585,False,False,891.7125840913953,False,False,,False,False,1.2578931333333303,False
e0107,True,9.720255567336526,True,False,0.010887803078274918,False,False,1131.9558158684465,False,False,,False,False,1.0081160440413273,False
e0108,True,127.34409149109008,True,True,0.0008117731971582036,False,False,0.3458314868335254,False,False,,False,False,0.050308771306385974,False
e0109,True,11.078746995066917,True,True,0.0004976177688667179,False,True,27.596241827400572,True,False,,False,False,0.039943945318202285,False
e0110,True,511.9187131436081,True,False,0.0016802555105901687,False,True,148.08151728443423,True,False,,False,False,5.928018900988824,False
e0111,True,2.616466660646376,True,False,0.0005927097897855786,False,True,1.6928028530205312,True,False,,False,True,0.16474783872524204,True
e0112,True,34.026997133407,True,True,0.0024299352229166255,True,False,126.1572267276083,False,False,,False,True,0.11731790981789969,True
e0113,True,44.92042782375833,True,False,0.00040114740212986427,False,False,0.2886017047713666,False,False,,False,False,0.017695610710706793,False
e0114,True,233.8367988201628,True,False,0.00013228261960861204,False,False,3.2645553208563864,False,False,,False,False,0.08531366614930168,False
e0115,True,187.03325752256347,True,False,0.0006813229141002958,False,False,0.09659480750999065,False,False,,False,False,0.043110161861257365,False
e0116,True,167.9870535087501,True,False,0.00019487822048385432,False,False,5.2400516298344995,False,False,,False,False,0.045007495102893175,False
e0117,True,551.1578501519782,True,False,0.0005847325151369772,False,False,0.4936985170279869,False,False,,False,False,0.15028000914365253,False
e0118,True,148.9076230427304,True,False,0.0006015312111086482,False,False,0.2310998140253528,False,False,,False,False,0.04636966318789492,False
e0119,True,73.62977999971322,True,False,0.01015162691108594,False,False,693.3521417151707,False,False,,False,False,2.415912752883804,False
e0120,True,58.23615996144681,True,False,0.003808586904353491,False,False,764.6794107761866,False,False,,False,False,0.7832369877478152,False
e0121,True,913.6117875853586,True,False,0.0005908368854510482,False,False,7.966765097082235,False,False,,False,False,0.3240460150118671,False
e0201,True,39.81222383985863,True,False,0.003966130107672182,False,False,126.01132263200878,False,False,,False,False,0.3447371284251774,False
e0202,False,9.238630249495383,False,False,0.001960842793640556,False,True,43.7281347113886,True,False,,False,False,0.6129390365140455,False
e0203,False,2.7602229899061226,False,False,0.009757182677115794,False,False,1050.6555684618854,False,False,,False,False,0.4682356832572115,False
e0204,False,27.990079616179795,False,False,0.02916611383077513,False,False,1469.2833901791216,False,False,,False,False,2.911242269689593,False
e0205,False,17.51940267852383,False,False,0.005321264306890509,False,False,3.490722671304363,False,False,,False,False,2.010716363574297,False
e0206,True,72.62378916419252,True,False,0.005964612598504825,False,False,93.252610848308,False,False,,False,False,0.9810553105266978,False
e0207,False,14.182389465921583,False,False,0.005524558105802919,False,False,691.5911385355244,False,False,,False,False,0.872755892155598,False
e0208,True,132.24429994888754,True,True,4.7563000275253844e-05,False,False,0.6054890310394477,False,False,,False,False,0.02552409521167823,False
e0209,True,255.62871063825207,True,False,5.2996743425190134e-05,False,True,47.87536776602136,True,False,,False,True,0.16842925542695272,True
e0210,True,153.94124628939088,True,False,0.1722953968517314,False,False,0.9680511807368491,False,False,,False,False,13.803050282803692,False
e0211,True,196.52441449379162,True,False,0.00035510401827516683,False,False,13.380298112399384,False,False,,False,False,1.6195975475781226,False
e0212,True,10.98497433942158,True,False,0.005903220280673572,False,False,2.5677434082702124,False,False,,False,False,0.3650169648721423,False
e0213,True,362.38243271111196,True,False,0.0010235335618527868,False,False,0.14731363534385955,False,False,,False,False,0.2246338830754061,False
e0214,True,5.848333247291469,True,False,0.00012008630068293966,False,False,0.07316883592304485,False,False,,False,True,0.0014093791503821198,True
e0215,True,280.07965105628267,True,False,9.695256804093952e-05,False,False,7.131810591663048,False,False,,False,False,0.12342230817321721,False
e0216,False,17.998571814049033,False,False,0.0004806083630416563,False,False,681.6099467437017,False,False,,False,False,1.9112231746084845,False
e0217,False,15.216904819833356,False,False,0.0018888218751988977,False,False,5.508039599202833,False,False,,False,False,1.7023756831425398,False
e0218,True,91.01231401186303,True,False,0.006631082061895536,False,False,611.7267125753715,False,False,,False,False,4.4901974430779905,False
e0219,True,622.8000817298453,True,False,0.00010004824433421203,False,False,0.49198383339393775,False,False,,False,False,0.4895637401320054,False
e0220,True,21.557946410778825,True,False,0.0004270270022985479,False,False,0.7343345607768846,False,False,,False,True,0.004722703564860264,True
e0221,True,88.63227354014386,True,False,0.0007933239427994309,False,False,0.3037971570548279,False,False,,False,True,0.022187230035717105,True
e0222,True,36.51717160911356,True,True,0.00029708507406143124,False,False,95.32665889317444,False,False,,False,False,0.02011283843569624,False
