ahu_id,month,energy_score_flag,pf_score_flag,unbalance_score_flag,thd_score_flag,overload_score_flag
e0101,2025-10,0.4591194968553459,0.0,0.36477987421383645,0.6226415094339622,0.32075471698113206
e0101,2025-11,0.5086805555555556,0.13576388888888888,0.4097222222222222,0.35520833333333335,0.0
e0101,2025-12,0.6421370967741935,0.3004032258064516,0.38071236559139787,0.1743951612903226,0.3793682795698925
e0101,2026-01,0.38272849462365593,0.13239247311827956,0.4489247311827957,0.4845430107526882,0.0
e0101,2026-02,0.42140151515151514,0.375,0.5435606060606061,0.6505681818181818,0.0
e0102,2025-10,0.4716981132075472,0.1949685534591195,0.39622641509433965,0.031446540880503145,0.0
e0102,2025-11,0.37256944444444445,0.16215277777777778,0.07604166666666666,0.26284722222222223,0.0
e0102,2025-12,0.7231182795698925,0.07258064516129033,0.19153225806451613,0.2446236559139785,0.0
e0102,2026-01,0.40456989247311825,0.015793010752688172,0.49731182795698925,0.3497983870967742,0.0961021505376344
e0102,2026-02,0.6761363636363636,0.03977272727272727,1.0,0.36742424242424243,0.007575757575757576
e0103,2025-10,0.8930817610062893,0.31446540880503143,0.0,0.012578616352201259,1.0
e0103,2025-11,0.4482638888888889,0.16493055555555555,0.07604166666666666,0.2899305555555556,0.14444444444444443
e0103,2025-12,0.6844758064516129,0.07426075268817205,0.39885752688172044,0.48151881720430106,0.0
e0103,2026-01,0.34173387096774194,0.09038978494623656,0.4254032258064516,0.14079301075268819,0.0
e0103,2026-02,0.6571969696969697,0.06912878787878787,0.19791666666666666,0.2547348484848485,0.0
e0104,2025-10,0.7044025157232704,1.0,1.0,0.012578616352201259,1.0
e0104,2025-11,0.36319444444444443,0.27847222222222223,0.34270833333333334,0.21388888888888888,0.09930555555555555
e0104,2025-12,0.9264112903225806,0.7520161290322581,0.1196236559139785,0.5134408602150538,0.0013440860215053765
e0104,2026-01,0.2980510752688172,0.16297043010752688,0.3094758064516129,0.14751344086021506,0.01478494623655914
e0104,2026-02,0.6477272727272727,0.13920454545454544,0.35700757575757575,0.26988636363636365,0.017045454545454544
e0105,2025-10,0.8113207547169812,1.0,0.4968553459119497,0.06918238993710692,0.0
e0105,2025-11,0.7184027777777777,0.7142361111111111,0.4131944444444444,0.4809027777777778,0.2423611111111111
e0105,2025-12,0.6606182795698925,0.25873655913978494,0.5191532258064516,0.4680779569892473,0.0
e0105,2026-01,0.30611559139784944,0.07291666666666667,0.24059139784946237,0.14045698924731181,0.0
e0105,2026-02,0.5672348484848485,0.6306818181818182,0.41382575757575757,0.3484848484848485,0.0
e0106,2025-10,0.5283018867924528,0.018867924528301886,0.0,0.006289308176100629,0.0
e0106,2025-11,0.5916666666666667,0.14201388888888888,0.02013888888888889,0.0920138888888889,0.0
e0106,2025-12,0.5870295698924731,0.45094086021505375,0.19455645161290322,0.17305107526881722,0.0
e0106,2026-01,0.4425403225806452,0.5067204301075269,0.8209005376344086,0.6710349462365591,0.0
e0106,2026-02,0.625,0.3854166666666667,0.5918560606060606,0.48579545454545453,0.0
e0107,2025-10,0.3836477987421384,0.10062893081761007,0.6163522012578616,0.3333333333333333,0.0
e0107,2025-11,0.48715277777777777,0.13784722222222223,0.509375,0.3506944444444444,0.0
e0107,2025-12,0.30678763440860213,0.24865591397849462,0.37163978494623656,0.11189516129032258,0.0
e0107,2026-01,0.614247311827957,0.25168010752688175,0.37735215053763443,0.3521505376344086,0.0
e0107,2026-02,0.3806818181818182,0.3503787878787879,0.35700757575757575,0.3626893939393939,0.0
e0108,2025-10,0.5157232704402516,0.4591194968553459,0.1069182389937107,0.06918238993710692,0.24528301886792453
e0108,2025-11,0.4288194444444444,0.26319444444444445,0.19652777777777777,0.14131944444444444,0.060069444444444446
e0108,2025-12,0.6710349462365591,0.35651881720430106,0.2967069892473118,0.18649193548387097,0.0003360215053763441
e0108,2026-01,0.40356182795698925,0.3024193548387097,0.27352150537634407,0.3548387096774194,0.15053763440860216
e0108,2026-02,0.6903409090909091,0.19981060606060605,0.5388257575757576,0.6571969696969697,0.2159090909090909
e0109,2025-10,0.5157232704402516,0.1509433962264151,0.3836477987421384,0.3333333333333333,0.14465408805031446
e0109,2025-11,0.42986111111111114,0.16319444444444445,0.3701388888888889,0.3576388888888889,0.134375
e0109,2025-12,0.7331989247311828,0.11021505376344086,0.24193548387096775,0.4519489247311828,0.13911290322580644
e0109,2026-01,0.395497311827957,0.10786290322580645,0.3850806451612903,0.10383064516129033,0.09845430107526881
