ahu_id,energy_%,pf_%,unbalance_%,thd_%,overload_%
e0105,56.47456952324077,38.5090076639793,39.48442321090873,35.582761023191,6.947347466905544
e0213,51.669131628987955,45.96450454257342,26.515951827593494,31.39657722374815,7.13078385801817
e0101,50.09455558873296,20.65293122325072,42.609734249029565,37.52363889718324,11.744799442619687
e0106,54.86214790484721,36.51836369065393,36.876679605852495,32.75604658106898,0.0
e0118,51.63730466806011,29.610829103214893,37.533592117049864,29.37195182641584,10.520553399024585
e0221,51.203547297297305,44.63682432432432,30.289273648648653,31.165540540540544,1.119087837837838
e0211,52.72554405239806,31.924783435453204,42.214240439467574,27.973800971899433,2.0283118529473905
e0112,50.45287150393152,42.918284064895,33.24375435453369,28.754852194684982,0.029859659599880562
e0116,50.90076639792973,28.287050860953517,34.14949736239674,33.024783517467895,8.022295212501245
e0104,54.60336418831492,38.130785309047475,27.86901562655519,28.56574101721907,5.086095351846322
