window,persistence_mae,persistence_r2,rolling_mean_mae,rolling_mean_r2
1,0.3728215801858938,-0.8568617905361053,0.42426092960076867,-1.4789499960732284
2,0.49184763726497543,-0.03630204763741851,0.5259198421113236,-0.36841406520227915
3,0.36779221132133405,-0.40220397360248716,0.29468292542804864,-0.020121970564101144
4,0.5909280111105206,-2.723929977661059,0.2974226691209904,-0.010207701273258207
5,0.47274381747212774,-0.013364392576047157,0.47278562026555415,-0.17647214313087312
