window,train_start,test_start,train_mean,train_std,train_var,test_mean,test_std,test_var,mean_shift,std_ratio
1,2025-11-05,2026-01-04,3.6310363463549518,1.1975637308188616,1.4341588893727906,3.9490990841895783,0.33606089548847595,0.11293692547651635,0.3180627378346266,0.2806204687400533
2,2025-11-12,2026-01-11,3.9887270800057864,0.4848023178256891,0.23503328736916046,3.7341311365799794,0.5663136879477997,0.3207111931570378,0.25459594342580694,1.1681332104344806
3,2025-11-19,2026-01-18,3.9669504353953093,0.49747391457381956,0.24748029568139995,3.3414705821877364,0.36970029414173255,0.13667830748848359,0.6254798532075729,0.7431551349952705
4,2025-11-26,2026-01-25,3.8892647168995254,0.5219058004504094,0.27238566454378255,3.2327812627344343,0.3474049801342895,0.1206902202221061,0.656483454165091,0.6656469037793332
5,2025-12-03,2026-02-01,3.8130576629495287,0.5480648113423351,0.3003750374317094,3.528962225694445,0.5485754699602429,0.30093504624210127,0.2840954372550839,1.0009317485949465
