=== EARLIEST DATA RECORDED PER DEVICE ===
Source Bucket: wach_bucket_3
e1006: 2025-10-30 08:15:28+00:00
e1007: 2025-10-30 08:16:18+00:00
e1008: 2025-10-30 08:15:49+00:00
e1101: 2025-10-30 08:15:28+00:00
e1102: 2025-10-30 08:15:36+00:00
e1103: 2025-10-30 08:16:11+00:00
e1104: 2025-10-30 08:15:43+00:00
e1105: 2025-10-30 08:15:30+00:00
e1106: 2025-10-30 08:15:35+00:00
e1107: 2025-11-19 04:58:11+00:00
e1108: 2025-10-30 08:15:32+00:00
