window,model,train_start,train_end,test_start,test_end,train_samples,test_samples,mae,rmse,mape,r2,final_train_loss,final_val_loss
1,transformer,2025-11-05 06:00:00+00:00,2026-01-04 06:00:00+00:00,2026-01-04 06:00:00+00:00,2026-01-11 06:00:00+00:00,5568,672,0.1900815895485276,0.2450427721801213,5.117656537103803,0.4683230489552813,0.1485642652426447,0.04538979629675547
2,transformer,2025-11-12 06:00:00+00:00,2026-01-11 06:00:00+00:00,2026-01-11 06:00:00+00:00,2026-01-18 06:00:00+00:00,5760,672,0.4238314359338837,0.5398194191547668,11.237776124416799,0.0913787497466545,0.15218862673888603,0.03298459202051163
3,transformer,2025-11-19 06:00:00+00:00,2026-01-18 06:00:00+00:00,2026-01-18 06:00:00+00:00,2026-01-25 06:00:00+00:00,5760,672,0.2649424969230671,0.3649640704658791,8.377923363689971,0.025457842004325548,0.1408639932051301,0.046797295204467244
4,transformer,2025-11-26 06:00:00+00:00,2026-01-25 06:00:00+00:00,2026-01-25 06:00:00+00:00,2026-02-01 06:00:00+00:00,5760,672,0.2704656056611551,0.3286244547355087,8.419150746149839,0.1051964935396662,0.1327797822240326,0.04246216764052709
5,transformer,2025-12-03 06:00:00+00:00,2026-02-01 06:00:00+00:00,2026-02-01 06:00:00+00:00,2026-02-08 06:00:00+00:00,5760,672,0.2845741799180769,0.37422900558532673,7.724751686874841,0.5346259919866068,0.15489487546599573,0.06704402218262355
