split,mae,rmse,mape,r2
1,0.004339285643437367,0.008580591326612813,0.1642669212450108,0.8534692593395855
2,0.004485882835561458,0.006271122282998344,0.1789329717656921,0.9962788997984141
3,0.004457299953817683,0.011494535912064275,0.1800267800730091,0.9487673313442532
4,0.005742104815598613,0.03628640914729064,0.3376287353006484,0.847960280684835
5,0.0036023140092699764,0.004765646943206309,0.1365578830315779,0.9408682747343121
