time,power_total,power_factor_avg,current_l1,current_l2,current_l3,current_mean,current_imbalance,rolling_mean_1h,power_delta,ewma_kw,ewma_pf,ewma_imbalance,z_kw,z_pf,z_imbalance,z_residual,risk_kw,risk_pf,risk_imbalance,risk_residual,iso_score,iso_risk,composite_risk,health_score
2025-11-05 06:00:00+00:00,0.3528458,0.79,0.664,0.55,0.71,0.6413333333333333,0.24948024948024936,,,0.3528458,0.79,0.24948024948024936,-8.156378704405688,-2.374891034994802,-3.770361907950333,,1.0,0.7916303449982673,1.0,,-0.0011185886900719755,0.7766746478012074,,
2025-11-05 06:15:00+00:00,0.3559748571428572,0.79,0.67,0.55,0.7185714285714285,0.6461904761904762,0.2608695652173912,,0.0031290571428572167,0.3534716114285714,0.79,0.2517581126276777,-8.154817188772103,-2.374891034994802,-3.5070909203000267,,1.0,0.7916303449982673,1.0,,0.006603850443014259,0.7538842200004425,,
2025-11-05 06:30:00+00:00,0.3561624285714285,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,,0.00018757142857128706,0.35400977485714286,0.79,0.253983809689771,-8.153474371161607,-2.374891034994802,-3.249849187226984,,1.0,0.7916303449982673,1.0,,0.017522013671803394,0.7216625855538086,,
2025-11-05 06:45:00+00:00,0.355818125,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.3552003026785714,-0.00034430357142850587,0.3543714448857143,0.79,0.2557643673394457,-8.152571937332455,-2.374891034994802,-3.0440558007685468,0.004936506126624672,1.0,0.7916303449982673,1.0,0.001645502042208224,0.018537416898744663,0.71866593209582,0.7486578600800262,25.134213991997377
2025-11-05 07:00:00+00:00,0.357117375,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.35626819642857144,0.0012992500000000295,0.35492063090857146,0.79,0.2571888134591854,-8.151201616303972,-2.374891034994802,-2.8794210916018024,0.006785082175021478,1.0,0.7916303449982673,0.9598070305339341,0.0022616940583404925,0.01113796962531799,0.7405031477662014,0.7481806473801316,25.181935261986844
2025-11-05 07:15:00+00:00,0.3563548333333333,0.79,0.67,0.55,0.7200000000000001,0.6466666666666668,0.26288659793814434,0.3563631904761904,-0.0007625416666667273,0.3552074713935238,0.79,0.2583283703549772,-8.150485896070771,-2.374891034994802,-2.7477133242683993,-6.677500226910291e-05,1.0,0.7916303449982673,0.9159044414227998,2.2258334089700972e-05,0.01555268938230292,0.7274744465814806,0.7380021683586436,26.19978316413564
2025-11-05 07:30:00+00:00,0.3556724285714286,0.79,0.67,0.55,0.7185714285714285,0.6461904761904762,0.2608695652173912,0.35624069047619045,-0.0006824047619046758,0.3553004628291048,0.79,0.25883660932746,-8.150253865184437,-2.374891034994802,-2.6889720533544783,-0.004540509912134044,1.0,0.7916303449982673,0.8963240177848261,0.0015135033040446814,0.016912550390317582,0.7234612308619224,0.7342854876285513,26.57145123714487
2025-11-05 07:45:00+00:00,0.35617825,0.79,0.67,0.55,0.71875,0.6462500000000001,0.2611218568665376,0.3563307217261905,0.0005058214285713625,0.3554760202632839,0.79,0.25929365883527555,-8.149815816811483,-2.374891034994802,-2.6361471611024863,-0.0012182751972059126,1.0,0.7916303449982673,0.8787157203674955,0.00040609173240197086,0.013112952833095548,0.7346745861642417,0.734281470105785,26.571852989421497
2025-11-05 08:00:00+00:00,0.355707875,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.3559783467261905,-0.00047037499999996735,0.3555223912106271,0.79,0.26001224665584927,-8.149700112693733,-2.374891034994802,-2.5530941798689537,-0.0021611154001861706,1.0,0.7916303449982673,0.8510313932896513,0.0007203718000620569,0.01778091973894913,0.7208985031274175,0.7267319422950514,27.326805770494854
2025-11-05 08:15:00+00:00,0.3557471428571429,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.3558264241071429,3.926785714286618e-05,0.3555673415399303,0.79,0.26058711691230824,-8.14958795328159,-2.374891034994802,-2.4866517948821283,-0.0006334707613776797,1.0,0.7916303449982673,0.8288839316273761,0.00021115692045922655,0.019214455321666213,0.7166678593327951,0.722275779865114,27.772422013488594
2025-11-05 08:30:00+00:00,0.3556995,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.35583319196428576,-4.764285714287109e-05,0.35559377323194424,0.79,0.2610470131174754,-8.149522001305614,-2.374891034994802,-2.4334978868926678,-0.0010682216842717055,1.0,0.7916303449982673,0.8111659622975559,0.0003560738947572352,0.019046035479419188,0.7171648992173183,0.7197640819829166,28.023591801708335
2025-11-05 08:45:00+00:00,0.3568944285714286,0.79,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.3560122366071429,0.0011949285714286106,0.35585390429984115,0.79,0.26141493008160915,-8.148872926023898,-2.374891034994802,-2.3909747605010994,0.007048864836229328,1.0,0.7916303449982673,0.7969915868336997,0.0023496216120764426,0.011561705424507518,0.7392526205724482,0.7234588881597186,27.65411118402814
2025-11-05 09:00:00+00:00,0.3587987142857143,0.7814285714285715,0.67,0.55,0.72,0.6466666666666667,0.2628865979381442,0.35678494642857145,0.0019042857142856917,0.35644286629701577,0.7882857142857144,0.2617092636529162,-8.147403356559062,-2.466735131699546,-2.356956259387839,0.01609034995919043,1.0,0.8222450438998486,0.785652086462613,0.00536344998639681,0.009110863169164096,0.7464855352654445,0.7286104708686898,27.13895291313102
2025-11-05 09:15:00+00:00,0.357865625,0.7775000000000001,0.66625,0.5575000000000001,0.7275,0.6504166666666668,0.26137091607943613,0.35731456696428576,-0.0009330892857142836,0.35672741803761265,0.7861285714285715,0.2616415941382202,-8.146693347167703,-2.582305620053018,-2.36477737014594,0.004403048052940228,1.0,0.8607685400176727,0.7882591233819799,0.0014676826843134094,0.004683747540850325,0.759550819090142,0.7374620066851304,26.25379933148696
2025-11-05 09:30:00+00:00,0.35444725,0.77,0.6475,0.56,0.73,0.6458333333333334,0.26322580645161275,0.3570015044642857,-0.003418375000000029,0.35627138443009015,0.7829028571428572,0.26195843660089874,-8.147831235635499,-2.7551255953524483,-2.32815733519208,-0.020408930487892787,1.0,0.918375198450816,0.7760524450640266,0.0068029768292975955,-0.006862877232369224,0.7936271664334478,0.7535913846599829,24.64086153400171
2025-11-05 09:45:00+00:00,0.34941,0.7785714285714286,0.6414285714285715,0.5514285714285715,0.7214285714285714,0.6380952380952382,0.26641791044776103,0.3551303973214286,-0.005037249999999993,0.3548991075440721,0.7820365714285715,0.2628503313702712,-8.151255321092059,-2.8015374788872465,-2.2250738742396856,-0.04570695399716676,1.0,0.9338458262957489,0.7416912914132285,0.01523565133238892,0.0027536505710685777,0.7652469126274577,0.7449276435130694,25.50723564869306
2025-11-05 10:00:00+00:00,0.3490965714285714,0.78,0.64,0.55,0.72,0.6366666666666666,0.2670157068062826,0.35270486160714287,-0.0003134285714285756,0.353738600320972,0.7816292571428572,0.2636834064574735,-8.154151001945783,-2.8233596362642936,-2.1287886776324054,-0.028830856308282846,1.0,0.9411198787547645,0.7095962258774685,0.009610285436094282,0.017698826973966075,0.7211407749279548,0.7293341522422377,27.066584775776224
2025-11-05 10:15:00+00:00,0.34919925,0.78,0.64,0.55,0.72,0.6366666666666666,0.2670157068062826,0.3505382678571428,0.00010267857142859382,0.35283073025677764,0.7813034057142859,0.26434986652723536,-8.156416306211216,-2.8408173621659265,-2.051760520346582,-0.010698981934095134,1.0,0.9469391207219755,0.6839201734488607,0.0035663273113650446,0.017419137116612693,0.7219661943829698,0.7256553918180726,27.43446081819274
